0.710,0.863
0.369,0.750
0.307,0.553
0.373,0.101
0.920,0.027
0.262,0.467
0.662,0.773
0.501,0.687
0.370,0.091
0.697,0.838
0.973,0.072
0.075,0.779
0.526,0.021
0.715,0.802
1.039,0.565
0.412,0.755
0.979,0.545
0.900,0.025
0.198,0.455
0.068,0.723
0.382,0.752
0.653,0.788
0.111,0.719
0.300,0.991
0.988,0.562
1.020,0.551
0.295,0.988
0.320,0.083
0.457,0.747
0.042,0.713
0.292,1.007
0.910,0.008
1.025,0.576
0.976,0.045
0.383,0.065
0.226,0.387
0.957,0.561
0.232,0.446
0.454,0.682
0.371,0.077
0.652,0.838
0.259,0.529
0.465,0.862
0.277,0.406
0.954,0.024
0.371,0.739
0.415,0.051
0.755,0.819
0.343,0.066
0.248,0.495
0.706,0.820
0.251,0.446
0.337,0.041
0.938,0.010
0.500,0.067
0.624,0.793
1.015,0.562
0.234,0.418
0.419,0.130
0.470,0.025
0.277,0.910
0.955,0.078
0.282,0.504
0.704,0.751
0.151,0.831
0.917,0.527
0.292,0.465
0.264,0.504
0.664,0.774
1.043,0.571
0.247,0.963
0.175,0.474
0.663,0.768
0.224,0.497
0.701,0.827
0.096,0.768
0.291,0.889
0.118,0.358
0.053,0.805
0.335,0.948
0.944,0.022
0.312,0.018
0.936,0.035
0.506,0.096
0.267,0.914
0.267,0.541
1.041,0.535
0.183,0.479
0.272,0.457
0.450,0.110
0.408,0.070
0.720,0.767
0.892,0.038
0.982,0.065
0.218,0.897
0.000,0.813
0.335,0.027
0.520,0.085
0.113,0.482
0.068,0.784
0.110,0.774
0.052,0.802
0.145,0.711
0.479,0.195
0.244,0.474
0.220,0.423
0.534,0.119
0.422,0.009
0.277,0.477
0.945,0.048
0.080,0.805
0.936,0.043
0.600,0.816
0.686,0.792
0.505,0.079
0.237,0.477
0.495,0.093
0.347,0.046
0.631,0.783
0.518,0.038
0.691,0.811
0.911,0.072
0.393,0.057
0.529,0.073
0.721,0.819
0.420,0.058
0.189,0.516
0.387,0.716
0.875,0.003
0.185,0.417
0.268,0.532
0.926,0.489
0.948,0.066
0.320,0.883
0.932,0.580
0.238,0.364
0.279,0.497
0.260,0.903
0.207,0.454
0.887,0.022
0.958,0.006
0.276,0.860
0.416,0.073
0.367,0.047
0.084,0.835
0.195,0.379
0.299,0.443
0.447,0.732
0.130,0.487
0.033,0.807
0.071,0.816
0.290,0.938
0.422,0.724
0.162,0.523
0.379,0.099
0.728,0.782
0.420,0.746
0.411,0.085
0.271,0.885
0.908,0.556
0.219,0.450
0.989,0.023
0.466,0.691
0.202,0.462
0.403,0.674
0.294,0.820
0.641,0.851
0.667,0.838
0.118,0.768
0.407,0.709
0.360,0.096
0.264,1.029
0.886,0.567
0.485,0.090
0.424,0.089
0.952,0.511
0.702,0.836
0.276,0.521
0.529,0.070
0.435,0.675
0.303,0.468
0.348,0.078
0.251,0.499
0.459,0.100
0.156,0.402
0.540,0.065
0.316,0.894
0.415,0.729
0.257,0.936
0.476,0.074
0.055,0.759
0.252,0.941
1.007,0.523
0.085,0.823
0.226,0.567
0.979,0.519
0.411,0.040
0.476,0.681
0.450,0.678
0.079,0.720
0.432,0.092
0.504,0.091
0.437,0.094
0.499,0.715
0.403,0.062
0.448,0.091
0.447,0.049
0.711,0.865
0.692,0.765
0.381,0.096
0.198,0.413
0.199,0.532
0.925,0.043
0.464,0.039
0.464,0.680
0.468,0.664
0.916,0.600
0.983,0.563
0.411,0.725
0.221,0.371
0.422,0.736
0.455,0.745
0.226,0.484
0.444,0.017
0.243,0.482
0.079,0.750
0.235,0.389
0.971,0.542
0.171,0.728
0.405,0.751
0.451,0.089
0.518,0.034
0.976,0.072
0.674,0.779
0.247,0.476
0.948,0.003
0.666,0.808
0.272,0.844
0.263,0.560
0.435,0.662
0.428,0.095
0.091,0.729
0.059,0.745
1.007,0.483
0.958,0.550
0.298,0.749
0.471,0.733
0.086,0.766
0.332,0.057
0.247,0.459
0.399,0.093
0.349,0.070
0.362,0.892
