0.904,0.010
0.243,0.541
0.430,0.692
0.889,0.009
0.211,0.920
0.231,0.460
0.227,0.492
0.525,0.030
0.234,0.995
0.344,0.432
0.646,0.806
0.182,0.450
0.973,0.519
0.179,0.406
0.672,0.843
0.629,0.764
0.027,0.787
0.436,0.716
0.027,0.759
0.725,0.852
0.151,0.720
0.239,0.504
0.282,0.979
0.253,0.486
0.063,0.761
0.686,0.807
0.380,0.883
0.526,0.066
0.767,0.839
0.462,0.721
0.355,0.007
0.194,0.913
0.491,0.029
0.242,0.467
0.464,0.020
0.906,0.001
0.308,0.456
0.476,0.718
0.245,0.548
0.332,0.058
1.014,0.565
0.371,0.062
0.452,0.717
0.167,0.815
0.316,0.934
0.299,0.414
0.546,0.045
0.915,0.001
0.410,0.047
0.655,0.756
0.492,0.081
1.016,0.481
0.454,0.666
0.417,0.057
0.253,0.523
0.435,0.726
0.224,0.452
0.239,0.474
0.381,0.741
0.208,0.493
0.998,0.428
0.296,0.454
1.001,0.552
0.022,0.809
0.238,0.459
0.949,0.575
0.202,0.434
0.926,0.550
0.088,0.829
0.690,0.800
0.696,0.760
0.333,0.117
0.077,0.708
0.957,0.045
0.253,0.469
0.352,0.053
0.307,0.111
0.431,0.741
0.943,0.047
0.312,0.838
0.305,0.941
0.694,0.822
0.636,0.745
0.379,0.086
0.080,0.790
0.259,0.858
0.198,0.487
0.927,0.606
0.380,0.770
0.455,0.754
0.210,0.501
0.069,0.709
0.434,0.718
0.145,0.762
0.964,0.062
1.026,0.116
0.490,0.685
0.184,0.490
0.900,0.052
0.211,0.417
0.615,0.765
0.266,0.451
1.031,0.519
0.956,0.585
0.936,0.084
0.464,0.732
0.501,0.030
0.232,0.464
0.485,0.125
0.408,0.736
0.252,0.815
0.050,0.850
0.239,0.477
0.730,0.800
0.468,0.677
1.001,0.552
0.353,0.127
0.318,0.038
0.965,0.568
0.433,0.757
0.430,0.714
0.293,0.889
0.901,0.037
0.285,0.924
0.395,0.019
0.102,0.785
0.414,0.006
0.415,0.048
0.445,0.755
0.689,0.794
0.060,0.688
0.073,0.811
0.669,0.776
0.510,0.042
0.492,0.695
0.298,0.888
0.136,0.769
1.021,0.512
0.299,0.575
0.996,0.531
0.710,0.773
0.387,0.088
0.920,0.057
0.425,0.078
0.715,0.752
0.864,0.044
0.200,0.424
0.298,0.965
0.512,0.006
0.940,0.488
0.896,0.003
0.375,0.131
0.326,0.793
0.033,0.707
